time_dt,timestamp,prev_index_price,interest_8h,interest_1h,index_price,time_dt
2019-05-03 11:00:00,1556877600000,5673.71,1.235002254538694e-07,9.589405741172401e-06,5780.64,2019-05-03 11:00:00
2019-05-03 12:00:00,1556881200000,5780.64,1.682180504021669e-05,1.7268869834438562e-05,5676.48,2019-05-03 12:00:00
2019-05-03 13:00:00,1556884800000,5676.48,3.501094756438608e-05,1.63304433935413e-05,5699.55,2019-05-03 13:00:00
2019-05-03 14:00:00,1556888400000,5699.55,5.341552364583994e-05,6.302523592287959e-07,5711.48,2019-05-03 14:00:00
2019-05-03 15:00:00,1556892000000,5711.48,5.4187054765833464e-05,5.397559352028444e-08,5742.06,2019-05-03 15:00:00
2019-05-03 16:00:00,1556895600000,5742.06,5.7894191281889855e-05,7.567805101543999e-07,5724.26,2019-05-03 16:00:00
2019-05-03 17:00:00,1556899200000,5724.26,5.889545939271442e-05,-3.366910607721067e-07,5712.86,2019-05-03 17:00:00
2019-05-03 18:00:00,1556902800000,5712.86,4.463926622277597e-05,6.875988680006951e-07,5691.02,2019-05-03 18:00:00
2019-05-03 19:00:00,1556906400000,5691.02,3.949130727271528e-05,3.722277117694123e-06,5666.7,2019-05-03 19:00:00
2019-05-03 20:00:00,1556910000000,5666.7,2.2211058371913763e-05,3.883547571464617e-07,5690.75,2019-05-03 20:00:00
2019-05-03 21:00:00,1556913600000,5690.75,1.215585740784611e-05,6.241690838788351e-06,5675.91,2019-05-03 21:00:00
2019-05-03 22:00:00,1556917200000,5675.91,1.5692900276122427e-05,4.117367564386611e-06,5689.38,2019-05-03 22:00:00
2019-05-03 23:00:00,1556920800000,5689.38,5.596386327311889e-05,3.987201654051047e-05,5693.79,2019-05-03 23:00:00
2019-05-04 00:00:00,1556924400000,5693.79,6.475885378790252e-05,9.671154625079738e-06,5675.49,2019-05-04 00:00:00
2019-05-04 01:00:00,1556928000000,5675.49,7.984684831327781e-05,1.47836008587014e-05,5658.05,2019-05-04 01:00:00
2019-05-04 02:00:00,1556931600000,5658.05,9.679783352307837e-05,1.7837266769215237e-05,5734.7,2019-05-04 02:00:00
2019-05-04 03:00:00,1556935200000,5734.7,9.876111417678624e-05,6.1563060264165525e-06,5792.78,2019-05-04 03:00:00
